Anomalia: ['100.00', '0.22', '-0.13', '1.00']
Anomalia: ['101.25', '0.19', '0.16', '1.00']
Anomalia: ['102.50', '-0.10', '0.23', '1.00']
Anomalia: ['103.75', '-0.25', '-0.02', '1.00']
Anomalia: ['105.00', '-0.06', '-0.24', '1.00']
Anomalia: ['106.25', '0.21', '-0.13', '1.00']
Anomalia: ['107.50', '0.19', '0.16', '1.00']
Anomalia: ['108.75', '-0.09', '0.23', '1.00']
Anomalia: ['110.00', '-0.25', '-0.01', '1.00']
Anomalia: ['111.25', '-0.07', '-0.24', '1.00']
Anomalia: ['112.50', '0.21', '-0.14', '1.00']
Anomalia: ['113.75', '0.20', '0.15', '1.00']
Anomalia: ['115.00', '-0.08', '0.24', '1.00']
Anomalia: ['116.25', '-0.25', '-0.00', '1.00']
Anomalia: ['117.50', '-0.08', '-0.24', '1.00']
Anomalia: ['118.75', '0.20', '-0.15', '1.00']
Anomalia: ['120.00', '0.20', '0.15', '1.00']
Anomalia: ['121.25', '-0.07', '0.24', '1.00']
Anomalia: ['122.50', '-0.25', '0.01', '1.00']
Anomalia: ['123.75', '-0.08', '-0.24', '1.00']
Anomalia: ['125.00', '0.20', '-0.15', '1.00']
Anomalia: ['126.25', '0.21', '0.14', '1.00']
Anomalia: ['127.50', '-0.07', '0.24', '1.00']
Anomalia: ['128.75', '-0.25', '0.01', '1.00']
Anomalia: ['130.00', '-0.09', '-0.23', '1.00']
Anomalia: ['131.25', '0.19', '-0.16', '1.00']
Anomalia: ['132.50', '0.21', '0.13', '1.00']
Anomalia: ['133.75', '-0.06', '0.24', '1.00']
Anomalia: ['135.00', '-0.25', '0.02', '1.00']
Anomalia: ['136.25', '-0.10', '-0.23', '1.00']
Anomalia: ['137.50', '0.19', '-0.17', '1.00']
Anomalia: ['138.75', '0.22', '0.12', '1.00']
Anomalia: ['140.00', '-0.05', '0.25', '1.00']
Anomalia: ['141.25', '-0.25', '0.03', '1.00']
Anomalia: ['142.50', '-0.11', '-0.23', '1.00']
